YEAR,RECORD_TYPE, NUMBER_SCRIPTS ,NPROPNAME,THER_CLASS,PAYER, UNIQUE_MEMBERS ,TOTAL_COST,COST_PER_USER,COST_PER_SCRIPT,COST_PER_DAYS_SUPPLY,COST_PER_UNIT_DISPENSED, TOTAL_SCRIPTS_FILLED ,YEARLY_PCT_CHANGE_COST_PER_SCRIPT, TOTAL_COST_RANK , COST_PER_USER_RANK , COST_PER_SCRIPT_RANK , COST_PER_DAYS_SUPPLY_RANK , COST_PER_UNIT_DISPENSED_RANK , TOTAL_SCRIPTS_FILLED_RANK , YEARLY_PCT_CHANGE_COST_PER_SCRIPT_RANK , DAYS_SUPPLY_MEDIAN , DAYS_SUPPLY_MEAN , DAYS_SUPPLY_STDDEV , QUANTITY_MEDIAN , QUANTITY_MEAN , QUANTITY_STDDEV ,INSURER_PAID_MEDIAN,INSURER_PAID_MEAN,INSURER_PAID_STDDEV,INSURER_PAID_SUM,MEMBER_PAID_MEDIAN,MEMBER_PAID_MEAN,MEMBER_PAID_STDDEV,MEMBER_PAID_SUM,TOTAL_PAID_MEDIAN,TOTAL_PAID_MEAN,TOTAL_PAID_STDDEV,TOTAL_PAID_SUM,PCT_TOTAL_PHARM_SPENDING,PCT_SCRIPTS_0_18,PCT_SCRIPTS_19_44,PCT_SCRIPTS_45_64,PCT_SCRIPTS_65_PLUS,PCT_SCRIPTS_FEMALE,PCT_SCRIPTS_MALE,PCT_URBAN_CORE,PCT_SUBURBAN,PCT_MICROPOLITAN,PCT_RURAL_SMALLTOWN
2018,Drug, 335 ,ABALOPARATIDE,Endocrine and Metabolic Drugs,Medicare, 65 ,"$592,355.83","$9,113.17","$1,768.23",$57.19,"$1,051.10", 335 ,, 417 , 120 , 115 , 145 , 20 , 874 ,, 30.0 , 30.9 , 6.0 , 1.6 , 1.7 , 0.5 ,"$1,655.87","$1,533.37",$377.56,"$513,677.69",$87.50,$233.94,$293.22,"$78,370.41","$1,750.03","$1,768.23",$335.18,"$592,355.83",0.0107%,,,,,,,75.5%,13.4%,5.7%,5.4%
2018,Drug, 62 ,ABALOPARATIDE,Endocrine and Metabolic Drugs,Minnesota Health Care Programs, 16 ,"$108,391.60","$6,774.48","$1,748.25",$57.90,$931.20, 62 ,, 575 , 98 , 81 , 111 , 21 ," 1,075 ",, 30.0 , 30.2 , 0.9 , 2.0 , 1.9 , 0.2 ,"$1,740.02","$1,730.06",$43.13,"$107,263.94",$3.00,$4.44,$7.02,$275.00,"$1,743.02","$1,748.25",$50.73,"$108,391.60",0.0020%,,,,,,,,,,
2018,Drug," 2,535 ",ABATACEPT,Analgesics and Anesthetics,Commercial, 361 ,"$11,417,468.75","$31,627.34","$4,503.93",$150.43,"$1,033.35"," 2,535 ",4.2%, 43 , 73 , 85 , 96 , 32 , 475 , 504 , 28.0 , 29.9 , 10.5 , 4.0 , 4.4 , 1.8 ,"$4,133.59","$4,181.83","$1,799.25","$10,600,942.45",$25.00,$313.08,$789.77,"$793,647.73","$4,164.13","$4,503.93","$1,661.47","$11,417,468.75",0.2064%,1.2%,18.9%,73.6%,6.3%,81.4%,18.6%,58.8%,14.1%,12.1%,15.0%
2018,Drug, 784 ,ABATACEPT,Analgesics and Anesthetics,Medicare, 125 ,"$3,672,845.36","$29,382.76","$4,684.75",$149.70,"$1,010.97", 784 ,9.7%, 136 , 71 , 76 , 86 , 21 , 716 , 197 , 28.0 , 31.3 , 13.6 , 4.0 , 4.6 , 2.3 ,"$4,190.40","$4,510.44","$2,062.65","$3,536,186.41",$3.70,$170.27,$445.50,"$133,491.12","$4,270.62","$4,684.75","$2,105.98","$3,672,845.36",0.0664%,0.0%,9.6%,29.2%,61.2%,75.1%,24.9%,53.2%,9.8%,10.2%,26.8%
2018,Drug, 594 ,ABATACEPT,Analgesics and Anesthetics,Minnesota Health Care Programs, 81 ,"$2,481,205.11","$30,632.16","$4,177.11",$149.13,"$1,044.28", 594 ,8.4%, 92 , 38 , 48 , 55 , 19 , 702 , 309 , 28.0 , 28.0 , 0.1 , 4.0 , 4.0 , -   ,"$4,155.88","$4,138.44",$235.87,"$2,458,234.68",$1.50,$4.48,$7.25,"$2,661.87","$4,192.86","$4,177.11",$248.57,"$2,481,205.11",0.0448%,,,,,71.2%,28.8%,58.6%,8.9%,11.6%,20.9%
2018,Drug, 119 ,ABEMACICLIB,Antineoplastic Agents,Commercial, 32 ,"$1,269,380.46","$39,668.14","$10,667.06",$398.30,$188.90, 119 ,, 266 , 62 , 34 , 32 , 102 ," 1,099 ",, 28.0 , 26.8 , 4.2 , 56.0 , 56.5 , 16.6 ,"$11,298.68","$10,430.05","$1,934.98","$1,241,176.22",$0.00,$225.80,$741.91,"$26,870.62","$11,358.67","$10,667.06","$1,883.65","$1,269,380.46",0.0229%,,,,,100.0%,0.0%,,,,
2018,Drug, 101 ,ABEMACICLIB,Antineoplastic Agents,Medicare, 31 ,"$1,088,019.37","$35,097.40","$10,772.47",$387.06,$179.48, 101 ,, 314 , 64 , 30 , 28 , 85 ," 1,070 ",, 28.0 , 27.8 , 1.6 , 56.0 , 60.0 , 15.6 ,"$11,239.92","$10,174.54","$2,716.55","$1,027,628.77",$67.76,$562.57,$975.84,"$56,819.69","$11,494.29","$10,772.47","$2,729.96","$1,088,019.37",0.0197%,0.0%,0.0%,13.9%,86.1%,100.0%,0.0%,,,,
2018,Drug, 29 ,ABEMACICLIB,Antineoplastic Agents,Minnesota Health Care Programs, 12 ,"$334,125.62","$27,843.80","$11,521.57",$410.47,$205.74, 29 ,, 360 , 44 , 17 , 17 , 61 ," 1,173 ",, 28.0 , 28.1 , 0.4 , 56.0 , 56.0 , -   ,"$11,371.76","$11,449.61",$290.16,"$332,038.66",$20.00,$10.34,$10.17,$300.00,"$11,440.89","$11,521.57",$290.58,"$334,125.62",0.0060%,,,,,100.0%,0.0%,,,,
2018,Drug, 939 ,ABIRATERONE ACETATE,Antineoplastic Agents,Commercial, 150 ,"$8,456,507.38","$56,376.72","$9,005.87",$328.63,$96.44, 939 ,8.5%, 56 , 47 , 47 , 48 , 144 , 667 , 348 , 30.0 , 27.4 , 6.6 , 120.0 , 93.4 , 46.5 ,"$9,952.38","$8,691.39","$2,414.43","$8,161,211.77",$10.00,$267.59,$909.50,"$251,270.14","$10,132.34","$9,005.87","$2,495.70","$8,456,507.38",0.1528%,0.0%,0.0%,62.4%,37.6%,0.0%,100.0%,60.0%,20.3%,10.9%,8.8%
2018,Drug," 2,448 ",ABIRATERONE ACETATE,Antineoplastic Agents,Medicare, 427 ,"$24,166,518.64","$56,596.06","$9,871.94",$331.94,$95.63," 2,448 ",6.0%, 19 , 37 , 39 , 42 , 124 , 503 , 338 , 30.0 , 29.7 , 4.1 , 120.0 , 103.2 , 37.2 ,"$9,794.66","$9,117.51","$2,279.91","$22,319,661.43",$514.76,$707.08,$911.29,"$1,730,932.33","$10,436.80","$9,871.94","$2,331.50","$24,166,518.64",0.4368%,0.0%,0.0%,4.3%,95.7%,0.0%,100.0%,57.1%,12.8%,12.5%,17.7%
2018,Drug, 134 ,ABIRATERONE ACETATE,Antineoplastic Agents,Minnesota Health Care Programs, 28 ,"$1,215,046.30","$43,394.51","$9,067.51",$317.66,$79.57, 134 ,0.4%, 169 , 28 , 28 , 28 , 110 , 961 , 603 , 30.0 , 28.5 , 4.5 , 120.0 , 114.0 , 24.3 ,"$10,176.13","$8,975.78","$2,228.13","$1,202,754.51",$1.50,$5.63,$8.17,$754.35,"$10,264.69","$9,067.51","$2,144.19","$1,215,046.30",0.0220%,0.0%,0.0%,62.7%,37.3%,0.0%,100.0%,,,,
2018,Drug," 1,093 ",ACAMPROSATE CALCIUM,Misc Psychotherapeutic/Neurolog,Commercial, 418 ,"$200,049.80",$478.59,$183.03,$5.40,$0.95," 1,093 ",-6.5%, 625 , 544 , 539 , 590 , 850 , 630 , 948 , 30.0 , 33.9 , 17.7 , 180.0 , 192.1 , 109.3 ,$149.72,$158.34,$122.41,"$173,064.56",$10.00,$23.40,$61.05,"$25,579.43",$168.45,$183.03,$126.91,"$200,049.80",0.0036%,,,,,46.4%,53.6%,75.8%,9.3%,8.8%,6.1%
2018,Drug," 1,143 ",ACAMPROSATE CALCIUM,Misc Psychotherapeutic/Neurolog,Medicare, 263 ,"$180,679.40",$686.99,$158.07,$5.31,$0.98," 1,143 ",-14.1%, 638 , 461 , 509 , 524 , 747 , 646 ," 1,049 ", 30.0 , 29.8 , 15.9 , 180.0 , 161.3 , 111.4 ,$142.00,$140.50,$105.49,"$160,586.26",$1.12,$14.98,$45.54,"$17,118.51",$163.48,$158.07,$112.03,"$180,679.40",0.0033%,0.0%,18.5%,59.8%,21.6%,42.0%,58.0%,60.1%,10.6%,12.1%,17.2%
2018,Drug," 2,435 ",ACAMPROSATE CALCIUM,Misc Psychotherapeutic/Neurolog,Minnesota Health Care Programs, 733 ,"$353,733.80",$482.58,$145.27,$5.21,$0.94," 2,435 ",-7.2%, 348 , 384 , 408 , 476 , 666 , 449 , 862 , 30.0 , 27.9 , 5.8 , 180.0 , 154.6 , 46.2 ,$160.66,$143.81,$47.62,"$350,167.19",$0.00,$0.60,$2.52,"$1,471.28",$162.23,$145.27,$46.99,"$353,733.80",0.0064%,,,,,43.7%,56.3%,75.4%,5.9%,7.8%,10.8%
2018,Drug, 446 ,ACARBOSE,Endocrine and Metabolic Drugs,Commercial, 139 ,"$23,291.09",$167.56,$52.22,$1.04,$0.33, 446 ,-19.8%," 1,033 ", 766 , 846 , 976 ," 1,084 ", 820 ," 1,212 ", 30.0 , 50.0 , 28.6 , 90.0 , 158.3 , 112.3 ,$33.49,$38.00,$33.86,"$16,950.01",$5.00,$12.40,$18.85,"$5,532.62",$43.52,$52.22,$36.14,"$23,291.09",0.0004%,0.0%,21.5%,61.0%,17.5%,56.7%,43.3%,54.5%,22.0%,9.0%,14.6%
2018,Drug, 981 ,ACARBOSE,Endocrine and Metabolic Drugs,Medicare, 247 ,"$54,212.99",$219.49,$55.26,$1.10,$0.35, 981 ,-6.6%, 841 , 681 , 755 , 871 , 975 , 676 , 895 , 30.0 , 50.5 , 29.0 , 90.0 , 159.3 , 116.3 ,$25.73,$36.33,$39.61,"$35,634.84",$5.99,$18.36,$28.98,"$18,015.88",$40.37,$55.26,$45.71,"$54,212.99",0.0010%,0.0%,5.9%,24.7%,69.4%,53.5%,46.5%,43.9%,15.9%,15.0%,25.2%
2018,Drug, 398 ,ACARBOSE,Endocrine and Metabolic Drugs,Minnesota Health Care Programs, 86 ,"$14,384.30",$167.26,$36.14,$1.20,$0.35, 398 ,-13.8%, 927 , 572 , 682 , 768 , 884 , 771 , 992 , 30.0 , 30.1 , 6.9 , 90.0 , 104.4 , 57.5 ,$27.92,$33.56,$20.69,"$13,358.05",$1.00,$1.82,$2.45,$725.75,$29.69,$36.14,$19.92,"$14,384.30",0.0003%,0.0%,18.1%,74.6%,7.3%,67.6%,32.4%,55.8%,9.3%,12.6%,22.4%
2018,Drug, 475 ,ACEBUTOLOL HCL,Cardiovascular Agents,Commercial, 118 ,"$16,627.93",$140.91,$35.01,$0.55,$0.29, 475 ,9.5%," 1,076 ", 810 , 950 ," 1,130 "," 1,104 ", 805 , 316 , 90.0 , 63.6 , 29.9 , 90.0 , 121.1 , 87.5 ,$10.82,$18.88,$24.26,"$8,969.14",$11.71,$16.12,$16.02,"$7,655.32",$24.76,$35.01,$25.26,"$16,627.93",0.0003%,0.0%,9.5%,52.0%,38.5%,65.7%,34.3%,41.5%,13.1%,20.0%,25.5%
2018,Drug," 1,029 ",ACEBUTOLOL HCL,Cardiovascular Agents,Medicare, 225 ,"$32,497.56",$144.43,$31.58,$0.48,$0.28," 1,029 ",7.0%, 923 , 778 , 888 ," 1,054 "," 1,005 ", 665 , 286 , 90.0 , 65.1 , 30.4 , 90.0 , 112.8 , 77.6 ,$11.18,$16.06,$18.61,"$16,527.55",$10.00,$15.36,$18.13,"$15,804.36",$23.74,$31.58,$22.87,"$32,497.56",0.0006%,0.0%,1.1%,2.1%,96.8%,64.1%,35.9%,37.8%,7.5%,14.8%,39.9%
2018,Drug," 28,010 ",ACETAMINOPHEN,Analgesics and Anesthetics,Commercial," 7,539 ","$112,981.21",$14.99,$4.03,$0.22,$0.03," 28,010 ",3.7%, 750 ," 1,262 "," 1,338 "," 1,290 "," 1,351 ", 140 , 526 , 16.0 , 18.4 , 10.5 , 100.0 , 122.4 , 335.9 ,$3.15,$3.90,$2.70,"$109,375.84",$0.00,$0.13,$0.80,"$3,603.86",$3.27,$4.03,$2.66,"$112,981.21",0.0020%,0.4%,5.6%,18.1%,75.8%,70.3%,29.7%,70.0%,10.0%,6.8%,13.1%
2018,Drug," 100,944 ",ACETAMINOPHEN,Analgesics and Anesthetics,Medicare," 15,143 ","$507,961.08",$33.54,$5.03,$0.26,$0.05," 100,944 ",-3.6%, 454 ," 1,087 "," 1,219 "," 1,162 "," 1,238 ", 58 , 779 , 16.0 , 19.3 , 10.1 , 100.0 , 109.3 , 89.5 ,$4.47,$4.99,$3.32,"$503,828.47",$0.00,$0.04,$0.56,"$4,130.64",$4.47,$5.03,$3.30,"$507,961.08",0.0092%,,,,,75.8%,24.2%,44.8%,10.2%,16.1%,28.9%
2018,Drug," 194,537 ",ACETAMINOPHEN,Analgesics and Anesthetics,Minnesota Health Care Programs," 91,683 ","$2,979,375.16",$32.50,$15.32,$1.07,$0.13," 194,537 ",2.0%, 75 , 961 , 902 , 797 ," 1,085 ", 14 , 536 , 13.0 , 14.4 , 10.5 , 100.0 , 119.8 , 120.0 ,$3.12,$14.84,$68.46,"$2,886,870.41",$0.00,$0.47,$1.75,"$92,359.72",$3.45,$15.32,$68.41,"$2,979,375.16",0.0538%,29.0%,18.8%,31.0%,21.3%,60.5%,39.5%,75.2%,4.4%,9.2%,11.1%
2018,Drug," 29,328 ","ACETAMINOPHEN, CODEINE",Analgesics and Anesthetics,Commercial," 18,463 ","$234,868.89",$12.72,$8.01,$0.95,$0.20," 29,328 ",0.4%, 593 ," 1,280 "," 1,267 "," 1,008 "," 1,173 ", 136 , 650 , 4.0 , 8.4 , 11.1 , 20.0 , 40.9 , 65.8 ,$0.00,$3.06,$7.75,"$89,646.76",$3.56,$4.78,$5.51,"$140,239.96",$4.90,$8.01,$9.90,"$234,868.89",0.0042%,4.0%,30.5%,52.4%,13.1%,62.8%,37.2%,63.4%,13.6%,8.9%,14.1%
2018,Drug," 39,363 ","ACETAMINOPHEN, CODEINE",Analgesics and Anesthetics,Medicare," 16,100 ","$458,573.25",$28.48,$11.65,$0.82,$0.20," 39,363 ",4.2%, 473 ," 1,115 "," 1,100 ", 943 ," 1,056 ", 126 , 410 , 8.0 , 14.2 , 13.9 , 30.0 , 58.6 , 98.0 ,$3.85,$6.78,$9.69,"$267,070.23",$2.00,$4.72,$7.25,"$185,842.61",$7.21,$11.65,$12.09,"$458,573.25",0.0083%,0.0%,3.6%,15.9%,80.5%,70.5%,29.5%,55.9%,10.2%,12.2%,21.6%
2018,Drug," 20,703 ","ACETAMINOPHEN, CODEINE",Analgesics and Anesthetics,Minnesota Health Care Programs," 13,067 ","$248,979.17",$19.05,$12.03,$1.59,$0.36," 20,703 ",-2.7%, 407 ," 1,065 ", 975 , 704 , 874 , 142 , 722 , 3.0 , 7.6 , 8.9 , 20.0 , 33.7 , 57.1 ,$4.21,$11.16,$44.68,"$230,977.20",$0.00,$0.82,$1.49,"$17,042.09",$4.90,$12.03,$44.60,"$248,979.17",0.0045%,6.3%,49.9%,42.0%,1.9%,69.1%,30.9%,58.7%,8.6%,12.2%,20.4%
2018,Drug, 22 ,"ACETAMINOPHEN, DEXTROMETHORPHAN HYDROBROMIDE, DOXYLAMINE SUC",NA,Minnesota Health Care Programs, 11 ,$249.46,$22.68,$11.34,$0.38,$0.38, 22 ,-6.1%," 1,203 "," 1,034 ", 985 ," 1,043 ", 866 ," 1,195 ", 830 , 30.0 , 29.8 , 0.9 , 30.0 , 30.0 , -   ,$10.34,$10.75,$0.74,$236.46,$1.00,$0.59,$0.50,$13.00,$11.34,$11.34,$0.54,$249.46,0.0000%,,,,,,,,,,
2018,Drug," 5,034 ",ACETAZOLAMIDE,Cardiovascular Agents,Commercial," 2,986 ","$460,370.29",$154.18,$91.45,$3.90,$1.44," 5,034 ",-17.6%, 460 , 783 , 699 , 659 , 760 , 368 ," 1,191 ", 15.0 , 23.5 , 23.6 , 30.0 , 63.3 , 102.0 ,$19.16,$69.55,$149.80,"$350,138.84",$10.00,$20.70,$44.89,"$104,197.79",$41.27,$91.45,$156.68,"$460,370.29",0.0083%,9.1%,41.8%,39.3%,9.9%,65.8%,34.2%,73.9%,9.2%,7.4%,9.5%
2018,Drug," 4,746 ",ACETAZOLAMIDE,Cardiovascular Agents,Medicare," 2,163 ","$429,830.78",$198.72,$90.57,$3.63,$1.81," 4,746 ",-9.7%, 484 , 711 , 638 , 603 , 632 , 378 , 990 , 20.0 , 24.9 , 25.7 , 30.0 , 49.9 , 61.1 ,$36.06,$67.91,$101.58,"$322,309.99",$4.17,$21.71,$40.37,"$103,012.85",$58.88,$90.57,$110.36,"$429,830.78",0.0078%,0.0%,6.1%,15.4%,78.4%,59.1%,40.9%,64.2%,7.0%,11.3%,17.5%
2018,Drug," 2,361 ",ACETAZOLAMIDE,Cardiovascular Agents,Minnesota Health Care Programs, 727 ,"$245,197.76",$337.27,$103.85,$4.11,$1.57," 2,361 ",-20.9%, 410 , 441 , 463 , 507 , 574 , 459 ," 1,069 ", 30.0 , 25.3 , 9.8 , 60.0 , 66.0 , 49.2 ,$91.01,$98.54,$75.22,"$232,644.24",$0.00,$2.64,$11.85,"$6,233.95",$94.85,$103.85,$73.43,"$245,197.76",0.0044%,14.2%,53.1%,31.3%,1.4%,70.4%,29.6%,59.1%,8.1%,13.9%,18.9%
2018,Drug, 160 ,ACETIC ACID,Genitourinary Products,Commercial, 73 ,"$2,080.65",$28.50,$13.00,$0.74,$0.01, 160 ,-21.7%," 1,275 "," 1,173 "," 1,177 "," 1,072 "," 1,372 "," 1,036 "," 1,229 ", 14.0 , 17.5 , 17.0 ," 1,000.0 "," 1,311.3 "," 1,431.6 ",$5.73,$7.77,$13.58,"$1,243.22",$0.00,$2.60,$3.85,$416.24,$7.28,$13.00,$21.33,"$2,080.65",0.0000%,10.6%,8.1%,49.4%,31.9%,63.1%,36.9%,,,,
2018,Drug, 884 ,ACETIC ACID,Genitourinary Products,Medicare, 252 ,"$13,802.82",$54.77,$15.61,$1.33,$0.01, 884 ,-15.2%," 1,025 ", 993 ," 1,049 ", 824 ," 1,263 ", 690 ," 1,068 ", 5.0 , 11.7 , 21.0 ," 1,000.0 "," 1,335.1 "," 1,460.0 ",$6.51,$11.87,$14.53,"$10,496.00",$0.00,$2.80,$7.25,"$2,471.31",$9.43,$15.61,$18.44,"$13,802.82",0.0002%,0.0%,6.7%,20.6%,72.7%,38.0%,62.0%,47.3%,11.2%,24.8%,16.7%
2018,Drug, 275 ,ACETIC ACID,Genitourinary Products,Minnesota Health Care Programs, 92 ,"$7,504.53",$81.57,$27.29,$1.54,$0.02, 275 ,86.3%, 999 , 741 , 745 , 709 ," 1,212 ", 842 , 16 , 20.0 , 17.7 , 11.8 ," 1,000.0 "," 1,480.0 "," 1,404.0 ",$12.27,$26.23,$51.07,"$7,213.50",$0.00,$0.88,$5.10,$241.78,$13.14,$27.29,$51.09,"$7,504.53",0.0001%,,,,,42.5%,57.5%,,,,
2018,Drug, 395 ,ACETIC ACID (OTIC),Topical Products,Commercial, 356 ,"$10,783.08",$30.29,$27.30,$1.66,$1.72, 395 ,5.8%," 1,126 "," 1,158 "," 1,018 ", 861 , 727 , 850 , 441 , 13.0 , 16.5 , 12.9 , 15.0 , 15.9 , 4.9 ,$12.86,$13.30,$12.20,"$5,252.11",$10.00,$13.51,$9.60,"$5,337.63",$29.07,$27.30,$10.56,"$10,783.08",0.0002%,19.5%,24.8%,43.5%,12.2%,53.4%,46.6%,61.8%,14.4%,9.4%,14.4%
